job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,employment_type,posted_year,company_size
B9YHJUS9YO8J,AI RESEARCHER,MNC,EDUCATION,CANADA,MONTREAL,HYBRID,SENIOR,5,149159,179827,164493,FULL-TIME,2026,LARGE
JFXWA3J9MQGS,AI RESEARCHER,MNC,EDUCATION,CANADA,MONTREAL,ONSITE,SENIOR,5,140467,170040,155253.5,FULL-TIME,2026,SMALL
PHC7FX6P1JBT,AI RESEARCHER,MNC,EDUCATION,CANADA,REMOTE,REMOTE,ENTRY,0,58471,78078,68274.5,FULL-TIME,2026,MEDIUM
H6UKV7T7U792,AI RESEARCHER,MNC,EDUCATION,CANADA,REMOTE,REMOTE,MID,2,101761,120419,111090,FULL-TIME,2026,MEDIUM
RU4UXF2Q5VTS,AI RESEARCHER,MNC,EDUCATION,CANADA,REMOTE,REMOTE,MID,2,102888,116959,109923.5,FULL-TIME,2026,LARGE
QDITX8IFP2S1,AI RESEARCHER,MNC,EDUCATION,CANADA,REMOTE,REMOTE,SENIOR,5,144562,155030,149796,FULL-TIME,2026,MEDIUM
C7Z8N5D5ONGL,AI RESEARCHER,MNC,EDUCATION,CANADA,TORONTO,HYBRID,SENIOR,5,140232,171091,155661.5,FULL-TIME,2026,SMALL
7WSGL7ET0I43,AI RESEARCHER,MNC,EDUCATION,CANADA,TORONTO,ONSITE,MID,2,103710,120962,112336,FULL-TIME,2026,LARGE
YV611UBTLUKY,AI RESEARCHER,MNC,EDUCATION,CANADA,VANCOUVER,HYBRID,ENTRY,0,63057,78891,70974,FULL-TIME,2026,SMALL
XLQSR98VF76K,AI RESEARCHER,MNC,EDUCATION,GERMANY,BERLIN,HYBRID,SENIOR,5,141304,173204,157254,FULL-TIME,2026,SMALL
J06XY4R5J8C6,AI RESEARCHER,MNC,EDUCATION,GERMANY,BERLIN,ONSITE,MID,2,97521,115545,106533,FULL-TIME,2026,SMALL
DJJJDERNFNAH,AI RESEARCHER,MNC,EDUCATION,GERMANY,BERLIN,ONSITE,MID,2,98307,114655,106481,FULL-TIME,2026,MEDIUM
WBQ2F8M8KUC0,AI RESEARCHER,MNC,EDUCATION,GERMANY,BERLIN,ONSITE,SENIOR,5,152749,157869,155309,FULL-TIME,2026,MEDIUM
D4PLO66V9N88,AI RESEARCHER,MNC,EDUCATION,GERMANY,FRANKFURT,HYBRID,SENIOR,5,144691,169425,157058,FULL-TIME,2026,SMALL
7O5F5JMLDU2O,AI RESEARCHER,MNC,EDUCATION,GERMANY,FRANKFURT,ONSITE,MID,2,91512,118110,104811,FULL-TIME,2026,SMALL
XW6ZUZTLSUY5,AI RESEARCHER,MNC,EDUCATION,GERMANY,FRANKFURT,ONSITE,SENIOR,5,144279,165274,154776.5,FULL-TIME,2026,LARGE
FDKXMPQBXT2O,AI RESEARCHER,MNC,EDUCATION,GERMANY,HAMBURG,HYBRID,ENTRY,0,50484,73850,62167,FULL-TIME,2026,LARGE
3V76UNCFVWTX,AI RESEARCHER,MNC,EDUCATION,GERMANY,HAMBURG,HYBRID,ENTRY,0,57553,83277,70415,FULL-TIME,2026,LARGE
DDISX98M006R,AI RESEARCHER,MNC,EDUCATION,GERMANY,HAMBURG,HYBRID,MID,2,95656,113493,104574.5,FULL-TIME,2026,SMALL
CQIKRABBNAPE,AI RESEARCHER,MNC,EDUCATION,GERMANY,HAMBURG,ONSITE,MID,2,103565,108067,105816,FULL-TIME,2026,MEDIUM
QBQU1WZ8SWAL,AI RESEARCHER,MNC,EDUCATION,GERMANY,MUNICH,HYBRID,MID,2,94239,129044,111641.5,FULL-TIME,2026,LARGE
LL19QM8CURCP,AI RESEARCHER,MNC,EDUCATION,GERMANY,MUNICH,ONSITE,ENTRY,0,59913,80364,70138.5,FULL-TIME,2026,MEDIUM
J6DZIC2KAMF9,AI RESEARCHER,MNC,EDUCATION,GERMANY,MUNICH,ONSITE,SENIOR,5,154162,163209,158685.5,FULL-TIME,2026,LARGE
9ZQXEQTZV667,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,ENTRY,0,50740,72692,61716,FULL-TIME,2026,SMALL
4NMK99KDW7Y8,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,ENTRY,0,52128,83966,68047,FULL-TIME,2026,LARGE
E3TAIPTS77KQ,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,ENTRY,0,58246,84171,71208.5,FULL-TIME,2026,MEDIUM
IYB256E58JXM,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,ENTRY,0,64160,69266,66713,FULL-TIME,2026,MEDIUM
ZU4C5K0JL81L,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,ENTRY,0,64322,76459,70390.5,FULL-TIME,2026,SMALL
6AWMROROLBC2,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,MID,2,91796,114309,103052.5,FULL-TIME,2026,SMALL
L0E5GO1GZEFX,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,MID,2,93373,123835,108604,FULL-TIME,2026,MEDIUM
QCMF4UQQGJJP,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,MID,2,93441,126948,110194.5,FULL-TIME,2026,LARGE
94U76BZ3CRS9,AI RESEARCHER,MNC,EDUCATION,GERMANY,REMOTE,REMOTE,SENIOR,5,152891,168003,160447,FULL-TIME,2026,MEDIUM
M3DVJCF9TPQM,AI RESEARCHER,MNC,EDUCATION,INDIA,BANGALORE,HYBRID,MID,2,103256,121436,112346,FULL-TIME,2026,LARGE
W87W9E1YERSS,AI RESEARCHER,MNC,EDUCATION,INDIA,BANGALORE,ONSITE,MID,2,90136,125005,107570.5,FULL-TIME,2026,SMALL
ODSNJD5HR7TC,AI RESEARCHER,MNC,EDUCATION,INDIA,BANGALORE,ONSITE,SENIOR,5,149708,172106,160907,FULL-TIME,2026,MEDIUM
ZP76JDLS7VDV,AI RESEARCHER,MNC,EDUCATION,INDIA,CHENNAI,HYBRID,ENTRY,0,52222,74533,63377.5,FULL-TIME,2026,SMALL
C9Q2T22ACQW3,AI RESEARCHER,MNC,EDUCATION,INDIA,CHENNAI,HYBRID,SENIOR,5,146994,162147,154570.5,FULL-TIME,2026,LARGE
XV2TXPAIQ1B2,AI RESEARCHER,MNC,EDUCATION,INDIA,DELHI,HYBRID,ENTRY,0,52116,88724,70420,FULL-TIME,2026,LARGE
P3E3V0ZBORPC,AI RESEARCHER,MNC,EDUCATION,INDIA,DELHI,HYBRID,MID,2,99464,111239,105351.5,FULL-TIME,2026,SMALL
L476CA1KCS8P,AI RESEARCHER,MNC,EDUCATION,INDIA,HYDERABAD,ONSITE,MID,2,97083,108200,102641.5,FULL-TIME,2026,SMALL
FI81U08U0T17,AI RESEARCHER,MNC,EDUCATION,INDIA,PUNE,HYBRID,ENTRY,0,56837,87508,72172.5,FULL-TIME,2026,SMALL
VB1ES9N03YWK,AI RESEARCHER,MNC,EDUCATION,INDIA,PUNE,HYBRID,SENIOR,5,142194,167407,154800.5,FULL-TIME,2026,LARGE
PIWPFI0RH0LQ,AI RESEARCHER,MNC,EDUCATION,INDIA,PUNE,ONSITE,ENTRY,0,59462,82683,71072.5,FULL-TIME,2026,MEDIUM
YNJ0MIQ9YKPL,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,ENTRY,0,56615,84107,70361,FULL-TIME,2026,SMALL
5D1CRUC2PH3F,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,ENTRY,0,62987,76713,69850,FULL-TIME,2026,LARGE
XRN1XBKLZ6FD,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,MID,2,90451,118941,104696,FULL-TIME,2026,SMALL
E8HH3C35Z5W6,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,MID,2,101081,120601,110841,FULL-TIME,2026,LARGE
23LVY0XXI9ZR,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,MID,2,104602,110490,107546,FULL-TIME,2026,MEDIUM
ULS7TAUZ3L5O,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,SENIOR,5,142261,174889,158575,FULL-TIME,2026,MEDIUM
012RR2BFZJ21,AI RESEARCHER,MNC,EDUCATION,INDIA,REMOTE,REMOTE,SENIOR,5,152850,175775,164312.5,FULL-TIME,2026,MEDIUM
9GECOKDSZNF8,AI RESEARCHER,MNC,EDUCATION,UK,BIRMINGHAM,HYBRID,MID,2,99164,117449,108306.5,FULL-TIME,2026,LARGE
2KDOFFWS890Y,AI RESEARCHER,MNC,EDUCATION,UK,BIRMINGHAM,HYBRID,MID,2,104414,129362,116888,FULL-TIME,2026,LARGE
JW00PCOYFFOD,AI RESEARCHER,MNC,EDUCATION,UK,BIRMINGHAM,ONSITE,ENTRY,0,61129,75274,68201.5,FULL-TIME,2026,MEDIUM
PCYXZLZZJ2IE,AI RESEARCHER,MNC,EDUCATION,UK,LONDON,HYBRID,MID,2,92336,107639,99987.5,FULL-TIME,2026,LARGE
ULNPOC8H443Y,AI RESEARCHER,MNC,EDUCATION,UK,LONDON,HYBRID,SENIOR,5,151812,170680,161246,FULL-TIME,2026,LARGE
IDWFO9OK221Q,AI RESEARCHER,MNC,EDUCATION,UK,LONDON,ONSITE,ENTRY,0,61455,72116,66785.5,FULL-TIME,2026,SMALL
NBXNCO99P71W,AI RESEARCHER,MNC,EDUCATION,UK,LONDON,ONSITE,SENIOR,5,142952,176765,159858.5,FULL-TIME,2026,SMALL
IHJ3AMQJH012,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,HYBRID,MID,2,100215,119068,109641.5,FULL-TIME,2026,MEDIUM
J1L1XXKCY5NA,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,HYBRID,SENIOR,5,149028,167289,158158.5,FULL-TIME,2026,MEDIUM
J9QSG1ZCK9L0,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,ONSITE,ENTRY,0,52467,70687,61577,FULL-TIME,2026,LARGE
NT66LFEAEKTJ,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,ONSITE,MID,2,95238,117877,106557.5,FULL-TIME,2026,SMALL
MVRMN1UMNJ1V,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,ONSITE,SENIOR,5,141356,176835,159095.5,FULL-TIME,2026,MEDIUM
UCUN4E6U846B,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,ONSITE,SENIOR,5,148933,159918,154425.5,FULL-TIME,2026,SMALL
L3P5XDBX1TBV,AI RESEARCHER,MNC,EDUCATION,UK,MANCHESTER,ONSITE,SENIOR,5,153099,157130,155114.5,FULL-TIME,2026,MEDIUM
3KMXCXG9TITE,AI RESEARCHER,MNC,EDUCATION,UK,REMOTE,REMOTE,MID,2,95097,107783,101440,FULL-TIME,2026,SMALL
0TYQYMFBDAA5,AI RESEARCHER,MNC,EDUCATION,UK,REMOTE,REMOTE,SENIOR,5,152074,178486,165280,FULL-TIME,2026,LARGE
1J45XU48BOKN,AI RESEARCHER,MNC,EDUCATION,USA,AUSTIN,HYBRID,SENIOR,5,140880,156803,148841.5,FULL-TIME,2026,SMALL
YK38JFB0D9DP,AI RESEARCHER,MNC,EDUCATION,USA,AUSTIN,ONSITE,MID,2,90353,109734,100043.5,FULL-TIME,2026,SMALL
5NKEQERJ0U9O,AI RESEARCHER,MNC,EDUCATION,USA,AUSTIN,ONSITE,MID,2,98620,124361,111490.5,FULL-TIME,2026,LARGE
9D2MZHETNMM2,AI RESEARCHER,MNC,EDUCATION,USA,BOSTON,ONSITE,ENTRY,0,54504,77825,66164.5,FULL-TIME,2026,LARGE
KRLUQB3M3R30,AI RESEARCHER,MNC,EDUCATION,USA,BOSTON,ONSITE,MID,2,104894,120572,112733,FULL-TIME,2026,LARGE
645UOJS5KAHW,AI RESEARCHER,MNC,EDUCATION,USA,NEW YORK,HYBRID,ENTRY,0,57065,83559,70312,FULL-TIME,2026,MEDIUM
LECI1FHQELMA,AI RESEARCHER,MNC,EDUCATION,USA,REMOTE,REMOTE,ENTRY,0,59540,89932,74736,FULL-TIME,2026,LARGE
8R6TAGRTYW3V,AI RESEARCHER,MNC,EDUCATION,USA,REMOTE,REMOTE,MID,2,90250,115817,103033.5,FULL-TIME,2026,LARGE
F9VZYK8671K1,AI RESEARCHER,MNC,EDUCATION,USA,REMOTE,REMOTE,MID,2,96005,111225,103615,FULL-TIME,2026,SMALL
NPJ269SYE6HG,AI RESEARCHER,MNC,EDUCATION,USA,REMOTE,REMOTE,SENIOR,5,151450,167286,159368,FULL-TIME,2026,SMALL
OP79X863X6MP,AI RESEARCHER,MNC,EDUCATION,USA,REMOTE,REMOTE,SENIOR,5,151788,166071,158929.5,FULL-TIME,2026,SMALL
6JR2MEQGFJBW,AI RESEARCHER,MNC,EDUCATION,USA,SEATTLE,HYBRID,ENTRY,0,51962,65538,58750,FULL-TIME,2026,LARGE
KXL0N30YUULO,AI RESEARCHER,MNC,EDUCATION,USA,SEATTLE,HYBRID,ENTRY,0,62318,87103,74710.5,FULL-TIME,2026,LARGE
ZAY1BO15ZEQY,AI RESEARCHER,MNC,EDUCATION,USA,SEATTLE,ONSITE,ENTRY,0,60121,87180,73650.5,FULL-TIME,2026,LARGE
6C4PZLSVY3SH,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,BRISBANE,HYBRID,SENIOR,5,140177,166958,153567.5,FULL-TIME,2026,LARGE
2KAA4SM0DJQV,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,MELBOURNE,HYBRID,ENTRY,0,62164,66108,64136,FULL-TIME,2026,LARGE
K6DXQKTQMJ6A,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,MELBOURNE,HYBRID,MID,2,104191,115783,109987,FULL-TIME,2026,SMALL
71QZUI52PYLB,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,MELBOURNE,HYBRID,SENIOR,5,152864,174747,163805.5,FULL-TIME,2026,MEDIUM
92VWUDJEHIAV,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,MELBOURNE,ONSITE,MID,2,103199,129728,116463.5,FULL-TIME,2026,LARGE
TYE737FENTD7,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,53426,76886,65156,FULL-TIME,2026,LARGE
IBER7PMZE3VL,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,53770,65906,59838,FULL-TIME,2026,SMALL
KS62C1JLOPO6,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,55567,85849,70708,FULL-TIME,2026,SMALL
4QRY3VVVF70U,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,ENTRY,0,56470,84812,70641,FULL-TIME,2026,SMALL
R2X3FJSU968U,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,MID,2,99913,116594,108253.5,FULL-TIME,2026,MEDIUM
JKMU2SSM1110,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,SENIOR,5,140949,164319,152634,FULL-TIME,2026,MEDIUM
DNFP8O6AZV39,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,REMOTE,REMOTE,SENIOR,5,151290,159583,155436.5,FULL-TIME,2026,LARGE
3WDNAHF0TX8V,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,HYBRID,ENTRY,0,60663,70668,65665.5,FULL-TIME,2026,SMALL
B48G5X1RTWFK,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,HYBRID,ENTRY,0,64116,67052,65584,FULL-TIME,2026,SMALL
NIPHYJAOODFP,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,HYBRID,SENIOR,5,152989,177282,165135.5,FULL-TIME,2026,MEDIUM
RPNDD7PKN9WP,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,ONSITE,ENTRY,0,62477,70073,66275,FULL-TIME,2026,MEDIUM
0ULQ516MGG2X,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,ONSITE,MID,2,91806,110814,101310,FULL-TIME,2026,LARGE
ESMHKN49OBXD,AI RESEARCHER,MNC,FINANCE,AUSTRALIA,SYDNEY,ONSITE,MID,2,99959,125703,112831,FULL-TIME,2026,SMALL
40PCPG69CQU5,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,ENTRY,0,55725,84059,69892,FULL-TIME,2026,MEDIUM
6RZ4D5PJFFH0,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,MID,2,93765,127976,110870.5,FULL-TIME,2026,MEDIUM
L7WFALWCH2SZ,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,MID,2,100256,110185,105220.5,FULL-TIME,2026,SMALL
D43I0BZAUHFF,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,MID,2,101076,114609,107842.5,FULL-TIME,2026,SMALL
3N8N84VCT1ZG,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,MID,2,101566,108565,105065.5,FULL-TIME,2026,SMALL
FL2MNHBQXZNZ,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,SENIOR,5,140473,161654,151063.5,FULL-TIME,2026,LARGE
N8C1XJ6BBW3P,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,SENIOR,5,140825,155827,148326,FULL-TIME,2026,LARGE
02L1X1FRM89S,AI RESEARCHER,MNC,FINANCE,CANADA,REMOTE,REMOTE,SENIOR,5,145000,172335,158667.5,FULL-TIME,2026,SMALL
85QDSS5OI4TO,AI RESEARCHER,MNC,FINANCE,CANADA,TORONTO,HYBRID,ENTRY,0,53972,86983,70477.5,FULL-TIME,2026,LARGE
G5V359Q8PR7M,AI RESEARCHER,MNC,FINANCE,CANADA,TORONTO,HYBRID,ENTRY,0,54640,70574,62607,FULL-TIME,2026,LARGE
OID8XOKH37AX,AI RESEARCHER,MNC,FINANCE,CANADA,TORONTO,ONSITE,MID,2,97133,117320,107226.5,FULL-TIME,2026,LARGE
21V1LGJBSDQC,AI RESEARCHER,MNC,FINANCE,CANADA,VANCOUVER,HYBRID,ENTRY,0,58784,86500,72642,FULL-TIME,2026,LARGE
3HODJ2ESJS84,AI RESEARCHER,MNC,FINANCE,CANADA,VANCOUVER,ONSITE,ENTRY,0,63565,87049,75307,FULL-TIME,2026,LARGE
LVU750GY6L3A,AI RESEARCHER,MNC,FINANCE,CANADA,VANCOUVER,ONSITE,MID,2,98830,111264,105047,FULL-TIME,2026,MEDIUM
C4Z6K650WXC3,AI RESEARCHER,MNC,FINANCE,GERMANY,BERLIN,HYBRID,MID,2,93860,129199,111529.5,FULL-TIME,2026,MEDIUM
19B819OP9WG6,AI RESEARCHER,MNC,FINANCE,GERMANY,BERLIN,ONSITE,MID,2,102790,117479,110134.5,FULL-TIME,2026,SMALL
1BEUD7E1U1MU,AI RESEARCHER,MNC,FINANCE,GERMANY,FRANKFURT,HYBRID,SENIOR,5,142037,164264,153150.5,FULL-TIME,2026,MEDIUM
XX00Z6CNQ3HK,AI RESEARCHER,MNC,FINANCE,GERMANY,FRANKFURT,ONSITE,ENTRY,0,57908,80392,69150,FULL-TIME,2026,SMALL
HSX0C6TV5H17,AI RESEARCHER,MNC,FINANCE,GERMANY,FRANKFURT,ONSITE,MID,2,97308,109990,103649,FULL-TIME,2026,SMALL
01Y5GIZY95HL,AI RESEARCHER,MNC,FINANCE,GERMANY,HAMBURG,HYBRID,ENTRY,0,52270,88546,70408,FULL-TIME,2026,MEDIUM
NYT3OBS579BV,AI RESEARCHER,MNC,FINANCE,GERMANY,HAMBURG,HYBRID,ENTRY,0,56224,78509,67366.5,FULL-TIME,2026,SMALL
EM2K2MEGUH37,AI RESEARCHER,MNC,FINANCE,GERMANY,HAMBURG,HYBRID,MID,2,90123,108234,99178.5,FULL-TIME,2026,SMALL
BIAGVX7FBGEA,AI RESEARCHER,MNC,FINANCE,GERMANY,MUNICH,HYBRID,SENIOR,5,147626,165327,156476.5,FULL-TIME,2026,SMALL
XGRCIOMV3HNG,AI RESEARCHER,MNC,FINANCE,GERMANY,MUNICH,ONSITE,SENIOR,5,154153,156259,155206,FULL-TIME,2026,MEDIUM
4X0J7ZGTH8GZ,AI RESEARCHER,MNC,FINANCE,GERMANY,REMOTE,REMOTE,MID,2,95281,108630,101955.5,FULL-TIME,2026,LARGE
DXPZ5K2IEQPU,AI RESEARCHER,MNC,FINANCE,GERMANY,REMOTE,REMOTE,MID,2,97212,116337,106774.5,FULL-TIME,2026,SMALL
M2TS1K5RKYHA,AI RESEARCHER,MNC,FINANCE,GERMANY,REMOTE,REMOTE,MID,2,97447,110909,104178,FULL-TIME,2026,MEDIUM
7C2HXAQQ1HOY,AI RESEARCHER,MNC,FINANCE,GERMANY,REMOTE,REMOTE,MID,2,101377,124647,113012,FULL-TIME,2026,LARGE
FO1KUP4CJ536,AI RESEARCHER,MNC,FINANCE,GERMANY,REMOTE,REMOTE,SENIOR,5,143083,163826,153454.5,FULL-TIME,2026,MEDIUM
8ZEGC0AQL0DO,AI RESEARCHER,MNC,FINANCE,INDIA,BANGALORE,HYBRID,SENIOR,5,148648,167393,158020.5,FULL-TIME,2026,LARGE
4LV4JB78IMYL,AI RESEARCHER,MNC,FINANCE,INDIA,CHENNAI,HYBRID,SENIOR,5,148214,155610,151912,FULL-TIME,2026,LARGE
AAETJTYXAZ6I,AI RESEARCHER,MNC,FINANCE,INDIA,CHENNAI,ONSITE,ENTRY,0,61431,76112,68771.5,FULL-TIME,2026,MEDIUM
RWQK16WM6DZT,AI RESEARCHER,MNC,FINANCE,INDIA,DELHI,ONSITE,MID,2,97364,124655,111009.5,FULL-TIME,2026,LARGE
ISCPCQIOV1GF,AI RESEARCHER,MNC,FINANCE,INDIA,HYDERABAD,HYBRID,MID,2,102392,126152,114272,FULL-TIME,2026,MEDIUM
38OP0J8W7L2O,AI RESEARCHER,MNC,FINANCE,INDIA,HYDERABAD,ONSITE,SENIOR,5,142348,173760,158054,FULL-TIME,2026,SMALL
1L2KSZIPSHYN,AI RESEARCHER,MNC,FINANCE,INDIA,PUNE,HYBRID,SENIOR,5,140588,175422,158005,FULL-TIME,2026,SMALL
OQOINC3DQTHV,AI RESEARCHER,MNC,FINANCE,INDIA,PUNE,HYBRID,SENIOR,5,145527,163474,154500.5,FULL-TIME,2026,LARGE
4KKFC0M9MV19,AI RESEARCHER,MNC,FINANCE,INDIA,PUNE,ONSITE,ENTRY,0,53300,86486,69893,FULL-TIME,2026,SMALL
TLJIS6WCIP18,AI RESEARCHER,MNC,FINANCE,INDIA,REMOTE,REMOTE,MID,2,97181,115436,106308.5,FULL-TIME,2026,SMALL
1NYARME54FOX,AI RESEARCHER,MNC,FINANCE,INDIA,REMOTE,REMOTE,SENIOR,5,149391,155654,152522.5,FULL-TIME,2026,MEDIUM
ITZ1S12NYV3S,AI RESEARCHER,MNC,FINANCE,INDIA,REMOTE,REMOTE,SENIOR,5,153356,167791,160573.5,FULL-TIME,2026,MEDIUM
TUDDN24WNXF1,AI RESEARCHER,MNC,FINANCE,UK,BIRMINGHAM,ONSITE,ENTRY,0,64583,81818,73200.5,FULL-TIME,2026,LARGE
T1LZ9X2N9PL8,AI RESEARCHER,MNC,FINANCE,UK,LONDON,HYBRID,ENTRY,0,52175,72528,62351.5,FULL-TIME,2026,SMALL
908TS4ZHMAOD,AI RESEARCHER,MNC,FINANCE,UK,LONDON,ONSITE,SENIOR,5,141987,157367,149677,FULL-TIME,2026,MEDIUM
PXJIFD87HMS3,AI RESEARCHER,MNC,FINANCE,UK,LONDON,ONSITE,SENIOR,5,143356,162227,152791.5,FULL-TIME,2026,MEDIUM
9SCZFDHZR8K7,AI RESEARCHER,MNC,FINANCE,UK,LONDON,ONSITE,SENIOR,5,150757,163304,157030.5,FULL-TIME,2026,MEDIUM
